scenario,distance_m,n_success,complete,used_runs,failed_runs,throughput_mbps_mean,throughput_mbps_ci95,pdr_mean,pdr_ci95,mean_lat_ms_mean,mean_lat_ms_ci95,p50_lat_ms_mean,p50_lat_ms_ci95,p95_lat_ms_mean,p95_lat_ms_ci95,jain_fairness_mean,jain_fairness_ci95
metal,100,5,1,7|8|9|10|11,,15.534216600000002,0.9579976607620914,0.1897532,0.011702204619386217,51.433571799999996,2.5933664679470643,54.9731838,4.794140639898501,81.7746882,0.03971051015803914,0.948062,0.020451500360664003
metal,300,5,1,7|8|9|10|11,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0
metal,500,5,1,7|8|9|10|11,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0
metal,800,5,1,7|8|9|10|11,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0
metal,1000,5,1,7|8|9|10|11,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0
metal,1200,5,1,7|8|9|10|11,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0
metal,1500,5,1,7|8|9|10|11,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0
composite,100,5,1,7|8|9|10|11,,81.59232,0.0,0.996664,0.0,4.861568,0.0,4.846173,0.0,5.010263,0.0,1.0,0.0
composite,300,5,1,8|9|10|11|12,7,81.4809088,0.2183659520000011,0.9953032,0.0026671680000000123,4.9832794,0.23855434400000006,4.8568846,0.02099473599999991,5.9414062,1.8250406719999999,0.9999964,7.055999999985295e-06
composite,500,5,1,8|9|10|11|12,7,32.2917718,7.043016509900858,0.39444979999999996,0.08603184873231298,35.039252,9.871073167025079,30.535818600000006,20.500922755333068,61.514847200000006,1.9874586071402698,0.999996,2.840309842229692e-06
composite,800,5,1,8|10|11|12|14,7|9|13,36.3648338,1.448789077380194,0.444203,0.017697251955555136,26.3707938,0.9606665676419589,22.887897,1.995093431971001,55.5751862,13.336402558233486,0.9363455999999999,0.044550003854338056
composite,1000,5,1,8|9|10|11|12,7,34.6510678,4.09753772740178,0.423269,0.05005219686029536,26.5446088,3.2799697004148443,26.9622138,4.105373784765018,37.8303874,4.68573939372871,0.9264771999999999,0.03717269877779528
composite,1200,5,1,7|8|10|11|12,9,15.0623572,1.2392316052888357,0.18398940000000003,0.015137369804658135,53.4162504,3.1302689554215006,54.7545406,7.926063152556092,81.39268499999999,3.0489603487515167,0.9215332,0.08305193638694706
composite,1500,5,1,10|11|12|14|16,7|8|9|13|15,5.2570794,0.3124934744847977,0.064216,0.003817101585108785,157.40306900000002,6.2859218752573724,128.23297259999998,14.377763007376238,395.7792261999999,44.099150142832116,0.8276312000000001,0.06192154235863626
repeater,100,5,1,7|8|9|10|11,,81.59232,0.0,0.996664,0.0,4.861568,0.0,4.846173,0.0,5.010263,0.0,1.0,0.0
repeater,300,5,1,7|8|9|10|11,,81.59232,0.0,0.996664,0.0,4.8553326,0.012221384000000175,4.844343,0.0035867999999999963,5.009970200000001,0.0005738880000001386,1.0,0.0
repeater,500,5,1,7|8|9|10|11,,81.59450460000001,0.004281816000002095,0.9966908,5.252799999998724e-05,4.835844400000001,0.05041825600000013,4.8371206,0.017742704000000054,5.009433400000001,0.0016260159999999288,1.0,0.0
repeater,800,5,1,7|8|10|11|12,9,81.59341219999999,0.002140711999998757,0.9966774,2.6264000000015383e-05,4.8594486,0.004384694425140419,4.8438062,0.004638928000000134,5.011483,0.0023911999999999974,1.0,0.0
repeater,1000,5,1,10|11|12|14|16,7|8|9|13|15,39.95839159999999,16.61954149308794,0.48809880000000005,0.203010341394883,31.721873400000003,12.33533119245133,33.9045378,14.24013893582994,43.492047400000004,17.383451796153224,0.9999966,4.621611840046693e-06
repeater,1200,5,1,8|11|12|14|18,7|9|10|13|15|16|17,22.907016399999996,2.2917157049471193,0.2798132,0.027993499319021613,47.295561400000004,5.212783780476562,55.4242374,7.222872693574102,70.0124108,0.9688486840809781,0.9999922000000001,9.075456131817762e-06
repeater,1500,5,1,10|11|12|14|16,7|8|9|13|15,21.3090306,1.088705370641759,0.26029359999999996,0.013298431219385834,51.242611,3.2741771050312005,60.49741300000001,1.8021544239973732,77.4699142,10.491732234350145,0.9999608,2.8378742466855827e-05
