scenario,speed_kmph,distance_m,num_ues,eff_loss_db,throughput_mbps,pdr,tx_pkts,rx_pkts,mean_lat_ms,p50_lat_ms,p95_lat_ms,jain_fairness,used_run
metal,0,500,10,60,0.0,0.0,14990,0,,,,0.0,1
metal,100,500,10,60,0.0,0.0,14990,0,,,,0.0,2
metal,200,500,10,60,0.0,0.0,14990,0,,,,0.0,3
metal,300,500,10,60,0.0,0.0,14990,0,,,,0.0,4
metal,400,500,10,60,0.0,0.0,14990,0,,,,0.0,5
metal,500,500,10,60,0.0,0.0,14990,0,,,,0.0,6
composite,0,500,10,20,81.603243,0.996798,14990,14942,4.735837,4.801399,5.006359,1.0,7
composite,100,500,10,20,34.16064,0.417278,14990,6255,36.336231,38.909979,48.81294,0.999994,8
composite,200,500,10,20,30.583467,0.373582,14990,5600,39.422972,42.823237,53.686731,1.0,9
composite,300,500,10,20,42.511019,0.51928,14990,7784,21.271231,5.008555,58.689122,0.999994,10
composite,400,500,10,20,24.581461,0.300267,14990,4501,45.103453,49.818479,67.841659,1.0,11
composite,500,500,10,20,22.096555,0.269913,14990,4046,49.922567,55.921813,70.708374,0.999995,12
repeater,0,500,10,5,81.597781,0.996731,14990,14941,4.790414,4.826043,5.008311,1.0,13
repeater,100,500,10,5,81.59232,0.996664,14990,14940,4.861568,4.846173,5.010263,1.0,14
repeater,200,500,10,5,81.59232,0.996664,14990,14940,4.861568,4.846173,5.010263,1.0,15
repeater,300,500,10,5,81.59232,0.996664,14990,14940,4.861568,4.846173,5.010263,1.0,16
repeater,400,500,10,5,81.597781,0.996731,14990,14941,4.790414,4.826043,5.008311,1.0,17
repeater,500,500,10,5,81.59232,0.996664,14990,14940,4.861568,4.846173,5.010263,1.0,18
